Alias / Serial number,Time,Status,Vpv1(V),Ipv1(A),Ppv1(W),Vpv2(V),Ipv2(A),Ppv2(W),Ppv(W),Vac(R)(V),VacS(V),VacT(V),Iac(R)(A),IacS(A),IacT(A),Fac(Hz),Pac(W),PacR(W),PacS(W),PacT(W),Temperature(_),Eac_today(kWh),Eac_total(kWh),T_total(H),Bat_Volt(V),Bat_Power(W),Output_Volt(V),Output_Freq(Hz),Load_Power(W),CHG_Temperature(_),Bat_Temperature(_),Bat_Percent(%)
SD1740L010,2018-02-20 00:00:33,NORMAL,11.1,0,0,15,0,0,0,235.5,0,192.9,0.5,0,0,50,-13,0,0,0,37.8,6.1,328.7,590,52.6,68,231.3,50,67,37.3,30,54
SD1740L010,2018-02-20 00:05:33,NORMAL,11.1,0,0,15,0,0,0,237.1,0,192.9,0.4,0,0,50,4,0,0,0,37.6,6.2,328.8,590,52.6,82,232.8,50,71,37.1,30,54
SD1740L010,2018-02-20 00:10:33,NORMAL,11.1,0,0,15,0,0,0,237.5,0,192.9,0.5,0,0,50,20,0,0,0,37.8,6.2,328.8,590,52.6,77,233.3,50,48,37.2,30,54
SD1740L010,2018-02-20 00:15:33,NORMAL,11.1,0,0,15.1,0,0,0,239.1,0,192.9,0.5,0,0,50,19,0,0,0,37.8,6.2,328.8,590,52.6,80,234.8,50,52,37.2,30,54
SD1740L010,2018-02-20 00:20:33,NORMAL,10.8,0,0,14.7,0,0,0,231.9,0,192.9,0.7,0,0,50,-21,0,0,0,37.6,6.2,328.8,590,52.5,164,227.7,50,170,37.2,30,54
SD1740L010,2018-02-20 00:25:33,NORMAL,10.8,0,0,14.6,0,0,0,232.8,0,192.9,0.6,0,0,50,-10,0,0,0,37.8,6.2,328.8,590,52.5,171,228.6,50,164,37.1,30,54
SD1740L010,2018-02-20 00:30:33,NORMAL,11,0,0,14.9,0,0,0,237.2,0,192.9,0.7,0,0,50,22,0,0,0,37.5,6.2,328.8,591,52.4,182,233,50,133,36.9,29,54
SD1740L010,2018-02-20 00:35:33,NORMAL,11.1,0,0,14.9,0,0,0,238,0,193,1.2,0,0,50,2,0,0,0,37.5,6.2,328.8,591,52.5,257,233.8,50,219,36.9,29,53
SD1740L010,2018-02-20 00:40:33,NORMAL,11,0,0,14.8,0,0,0,235.3,0,193,1.3,0,0,50,3,0,0,0,37.6,6.2,328.8,591,52.4,257,231,50,231,37,29,53
SD1740L010,2018-02-20 00:45:33,NORMAL,11,0,0,14.8,0,0,0,232,0,193,1.3,0,0,50.1,-13,0,0,0,37.7,6.3,328.9,591,52.4,239,227.9,50.1,225,36.8,29,53
SD1740L010,2018-02-20 00:50:33,NORMAL,11,0,0,14.8,0,0,0,234.8,0,193,0.6,0,0,50,17,0,0,0,37.4,6.3,328.9,591,52.5,174,230.6,50,132,36.9,29,53
SD1740L010,2018-02-20 00:55:33,NORMAL,11,0,0,14.8,0,0,0,234.6,0,193,0.6,0,0,50,-13,0,0,0,37.6,6.3,328.9,591,52.5,151,230.4,50,148,36.8,29,53
SD1740L010,2018-02-20 01:00:33,NORMAL,11.1,0,0,14.9,0,0,0,234.9,0,193,0.6,0,0,50,-11,0,0,0,37.7,6.3,328.9,591,52.4,154,230.7,50,142,36.8,29,53
SD1740L010,2018-02-20 01:05:33,NORMAL,11,0,0,14.9,0,0,0,236.2,0,193.1,0.6,0,0,49.9,17,0,0,0,37.4,6.3,328.9,591,52.5,168,232,49.9,134,36.9,29,52
SD1740L010,2018-02-20 01:10:33,NORMAL,11,0,0,14.9,0,0,0,231.7,0,193.1,0.6,0,0,50,-11,0,0,0,37.6,6.3,328.9,591,52.4,156,227.6,50,145,36.7,29,52
SD1740L010,2018-02-20 01:15:33,NORMAL,10.9,0,0,14.8,0,0,0,232.3,0,193.1,0.6,0,0,49.9,-12,0,0,0,37.5,6.3,328.9,591,52.4,150,228.2,49.9,139,36.5,29,52
SD1740L010,2018-02-20 01:20:33,NORMAL,10.9,0,0,14.7,0,0,0,231.9,0,193.1,0.6,0,0,49.9,-13,0,0,0,37.1,6.3,328.9,591,52.4,150,227.7,49.9,156,36.4,29,52
SD1740L010,2018-02-20 01:25:33,NORMAL,10.9,0,0,14.7,0,0,0,233.9,0,193.1,0.5,0,0,50,1,0,0,0,37.2,6.3,328.9,591,52.5,161,229.7,50,129,36.4,29,52
SD1740L010,2018-02-20 01:30:33,NORMAL,10.9,0,0,14.7,0,0,0,234.2,0,193.1,0.6,0,0,50,-11,0,0,0,37.3,6.4,329,592,52.5,147,230,50,149,36.6,29,52
SD1740L010,2018-02-20 01:35:33,NORMAL,10.8,0,0,14.5,0,0,0,232.3,0,193.1,0.6,0,0,50,-7,0,0,0,37.1,6.4,329,592,52.5,160,228.2,50,139,36.6,29,52
SD1740L010,2018-02-20 01:40:33,NORMAL,10.7,0,0,14.5,0,0,0,232.1,0,193.1,0.6,0,0,50,-7,0,0,0,37.2,6.4,329,592,52.5,159,227.9,50,144,36.3,29,52
SD1740L010,2018-02-20 01:45:33,NORMAL,10.7,0,0,14.5,0,0,0,232.7,0,193.2,0.6,0,0,50,-4,0,0,0,37.1,6.4,329,592,52.5,158,228.5,50,140,36.6,29,51
SD1740L010,2018-02-20 01:50:34,NORMAL,10.8,0,0,14.5,0,0,0,233.3,0,193.2,0.6,0,0,50,-6,0,0,0,37.4,6.4,329,592,52.5,156,229.2,50,140,36.6,29,51
SD1740L010,2018-02-20 01:55:34,NORMAL,11,0,0,14.7,0,0,0,236.3,0,193.2,0.6,0,0,50,3,0,0,0,37.4,6.4,329,592,52.3,154,232.1,50,127,36.3,29,51
SD1740L010,2018-02-20 02:00:34,NORMAL,11,0,0,14.8,0,0,0,234.2,0,193.2,0.5,0,0,50,0,0,0,0,37.1,6.4,329,592,52.4,78,229.9,50,62,36.4,29,51
SD1740L010,2018-02-20 02:05:34,NORMAL,11.1,0,0,14.8,0,0,0,235,0,193.2,0.7,0,0,50.1,5,0,0,0,37.1,6.4,329,592,52.5,164,230.7,50.1,149,36.6,29,51
SD1740L010,2018-02-20 02:10:34,NORMAL,11.1,0,0,15,0,0,0,235.4,0,193.2,0.5,0,0,50,-12,0,0,0,37,6.4,329,592,52.5,158,231.1,50,140,36.5,29,51
SD1740L010,2018-02-20 02:15:34,NORMAL,11.1,0,0,15,0,0,0,234.9,0,193.2,0.4,0,0,49.9,14,0,0,0,37.3,6.5,329.1,592,52.5,80,230.7,49.9,56,36.1,29,51
SD1740L010,2018-02-20 02:20:34,NORMAL,11.4,0,0,15.3,0,0,0,240.5,0,193.2,0.4,0,0,50,15,0,0,0,36.8,6.5,329.1,592,52.4,81,236.1,50,58,36.2,29,51
SD1740L010,2018-02-20 02:25:34,NORMAL,11.4,0,0,15.3,0,0,0,236.9,0,193.2,0.4,0,0,49.9,13,0,0,0,37.1,6.5,329.1,592,52.5,81,232.6,49.9,58,36.3,29,51
SD1740L010,2018-02-20 02:30:34,NORMAL,11.4,0,0,15.3,0,0,0,237,0,193.2,0.5,0,0,50,-18,0,0,0,36.5,6.5,329.1,593,52.4,61,232.7,50,79,36,29,51
SD1740L010,2018-02-20 02:35:34,NORMAL,11.6,0,0,15.5,0,0,0,239.6,0,193.2,0.6,0,0,50,-8,0,0,0,36.7,6.5,329.1,593,52.6,62,235.3,50,70,36,28,50
SD1740L010,2018-02-20 02:40:34,NORMAL,11.5,0,0,15.4,0,0,0,237.4,0,193.3,0.6,0,0,50,-18,0,0,0,36.6,6.5,329.1,593,52.6,62,233.1,50,80,36,28,50
SD1740L010,2018-02-20 02:45:34,NORMAL,11.6,0,0,15.4,0,0,0,237.3,0,193.3,0.6,0,0,50,-23,0,0,0,36.6,6.5,329.1,593,52.6,64,233,50,72,35.9,28,50
SD1740L010,2018-02-20 02:50:34,NORMAL,11.7,0,0,15.5,0,0,0,237.4,0,193.3,0.5,0,0,50,16,0,0,0,36.3,6.5,329.1,593,52.4,70,233.2,50,60,35.8,28,50
