Date,Day,Month,Year,Hour,TotalTime,Weather,PEA_Type,CauseType,Causedata,AllCus,ComType
28,7,1,2018,6,2885,1,1,3,5,2135,3
20,6,1,2016,21,1455,1,1,2,1,0,3
28,7,1,2016,19,1455,4,2,1,1,0,2
17,3,1,2018,7,635,6,2,9,1,2646,2
22,1,1,2013,1,452,5,2,1,1,2380,2
10,3,1,2018,17,445,6,1,9,1,1151,3
17,3,1,2017,17,437,6,1,9,1,0,3
29,1,1,2016,10,377,1,1,1,4,0,2
27,6,1,2017,1,357,6,1,2,1,195,2
19,5,1,2018,17,328,5,2,1,1,6992,2
4,4,1,2018,16,327,5,1,1,1,524,2
30,2,1,2016,10,323,6,1,9,1,0,2
6,6,1,2014,0,320,4,2,5,2,1593,2
4,4,1,2015,17,319,5,2,9,1,5427,3
11,4,1,2019,20,315,4,2,5,2,0,2
15,1,1,2018,17,312,6,2,9,1,3692,2
27,6,1,2017,19,312,1,2,9,1,0,3
22,1,1,2014,2,308,6,2,2,1,8256,3
3,3,1,2016,21,280,6,2,1,1,0,2
13,6,1,2016,6,280,1,1,1,1,0,3
6,6,1,2016,8,269,3,1,2,3,2895,3
17,3,1,2018,9,253,6,1,1,4,5980,2
8,1,1,2016,18,252,4,1,1,1,0,2
3,3,1,2017,17,248,5,1,9,1,0,2
19,5,1,2018,20,245,6,1,1,1,3545,2
15,1,1,2017,17,245,1,1,2,1,0,2
16,2,1,2013,15,242,6,1,1,4,8781,2
30,2,1,2016,12,241,6,1,9,1,0,3
21,7,1,2018,18,235,4,2,5,2,10510,2
17,3,1,2014,3,227,4,2,2,1,15746,2
3,3,1,2017,13,225,1,2,2,1,0,3
21,7,1,2015,21,224,6,1,9,1,1238,2
7,7,1,2017,1,216,6,1,9,1,0,3
24,3,1,2016,20,215,5,1,2,1,0,2
2,2,1,2015,10,214,1,2,2,1,4940,3
10,3,1,2016,9,213,6,1,9,1,0,2
21,7,1,2018,17,212,6,2,8,3,10,3
7,7,1,2017,8,210,3,2,1,1,0,2
8,1,1,2014,20,209,5,2,1,1,4227,2
30,2,1,2013,17,205,5,1,1,4,9807,2
23,2,1,2018,16,205,6,1,9,1,10502,2
10,3,1,2017,3,204,5,2,9,1,0,2
